name,type,region,lat,lng,address,tel,email,web,contact1_name,contact1_role,contact1_email
Thomas Electrical Distributors Ltd Melksham,distributor,ELECTRICAL — United Kingdom,51.37045,-2.13763,"Melksham, United Kingdom",441000000000,,,,Chris Appleton,
CVK Ductwork Services Limited,distributor,HVAC — United Kingdom,51.37092,1.12777,"Herne Bay, United Kingdom",441000000000,,,,Toby House,
Allduct Ventilation Supplies Ltd,distributor,HVAC — United Kingdom,51.3731,0.09755,"Orpington, United Kingdom",442000000000,,,,Toby House,
BEW Electrical Distributors Ltd - Orpington,distributor,ELECTRICAL — United Kingdom,51.3731,0.09755,"Orpington, United Kingdom",,,,,Toby House,
Brymec,distributor,OTHER — United Kingdom,51.37695,-0.09569,"Croydon, United Kingdom",443000000000,paul.clappison@brymec.com,,Paul Clappison,Toby House,
Rexel Croydon,distributor,ELECTRICAL — United Kingdom,51.37695,-0.09569,"Croydon, United Kingdom",,,,,Toby House,
012 Edmundson Electrical Croydon,distributor,ELECTRICAL — Croydon — United Kingdom,51.37726,-0.11265,"30-32 Factory Ln, Croydon, CR0 3RL, United Kingdom",0208 700 0000,andy.howard@eel.co.uk,,Andy Howard,Toby House,T.House@zip-clip.com
Rexel - Bath,distributor,ELECTRICAL — United Kingdom,51.3781,-2.35968,"Bath, United Kingdom",,,,,Chris Appleton,
Price Technical Ltd,distributor,OTHER — United Kingdom,51.38817,-2.8225,"Yatton, United Kingdom",442000000000,,,,Contact,
Balfour Kilpatrick Ltd,distributor,OTHER — United Kingdom,51.39675,-0.10552,"Thornton Heath, United Kingdom",442000000000,,,,Contact,
GFE Electrical Wholesale Ltd - Newbury,distributor,ELECTRICAL — United Kingdom,51.40141,-1.32311,"Newbury, United Kingdom",442000000000,,,,Josh Wade,
Wokingham Electrical & Lighting Supplies Ltd,distributor,ELECTRICAL — United Kingdom,51.41046,-0.83386,"Wokingham, United Kingdom",441000000000,dan@lectri-call.co.uk,,,Toby House,
Rexel - Footscray,distributor,ELECTRICAL — United Kingdom,51.42649,0.10094,"Sidcup, United Kingdom",,,,,Toby House,
Sys-Teams,distributor,OTHER — United Kingdom,51.42883,-0.54788,"Egham, United Kingdom",442000000000,steve.thomas@sys-teams.co.uk,,Steve Thomas,Contact,
N C M Distributors Ltd,distributor,OTHER — United Kingdom,51.44411,-0.41113,"Feltham, United Kingdom",442000000000,amy@ncmdistributors.com,,Amy Weeks,Toby House,
UPS Ltd,distributor,OTHER — United Kingdom,51.44411,-0.41113,"Feltham, United Kingdom",,,,,Toby House,
Air-Fab (Manufacturing) Ltd,distributor,OTHER — United Kingdom,51.44895,-0.38293,"Hanworth, United Kingdom",442000000000,,,,Contact,
Fixings North West Ltd,distributor,FIXINGS — United Kingdom,51.44976,-0.41449,"Glebelands Road, United Kingdom",442000000000,,,,Contact,
Axis Ductwork Ltd,distributor,HVAC — United Kingdom,51.45063,0.05709,"Eltham, United Kingdom",442000000000,,,,Toby House,
Bouygues Group,distributor,OTHER — United Kingdom,51.45451,-2.58791,"Bristol, United Kingdom",441000000000,,,,Chris Appleton,
Denmans Electrical Wholesalers - Accrington,distributor,ELECTRICAL — United Kingdom,51.45451,-2.58791,"Bristol, United Kingdom",441000000000,,,,Chris Appleton,
Field and Lawn Ltd,distributor,OTHER — United Kingdom,51.45451,-2.58791,"Bristol, United Kingdom",,,,,Chris Appleton,
PHC (Powred Heating Components Ltd) Bristol,distributor,HVAC — United Kingdom,51.45451,-2.58791,"Bristol, United Kingdom",441000000000,,,,Chris Appleton,
PHC Parts,distributor,OTHER — United Kingdom,51.45451,-2.58791,"Bristol, United Kingdom",441000000000,,,,Chris Appleton,
Templegate Electrical Supplies Ltd - Bristol,distributor,ELECTRICAL — United Kingdom,51.45451,-2.58791,"Bristol, United Kingdom",441000000000,mark.hurley@templegate.co.uk,,Mark Hurley,Chris Appleton,
Toro Corporation Ltd,distributor,OTHER — United Kingdom,51.45451,-2.58791,"Bristol, United Kingdom",441000000000,,,,Chris Appleton,
BEW Electrical Distributors Ltd - Wandsworth,distributor,ELECTRICAL — United Kingdom,51.45837,-0.18914,"Wandsworth, United Kingdom",,,,,Toby House,
British Electrical & Mfg Co. Ltd - Wandsworth,distributor,ELECTRICAL — United Kingdom,51.45837,-0.18914,"Wandsworth, United Kingdom",442000000000,,,,Toby House,
022 Edmundson Electrical Cardiff,distributor,ELECTRICAL — Cardiff — United Kingdom,51.45894,-3.1968,"Units 5 & 6, Stuart Close, Cardiff, CF11 8EE, United Kingdom",029 2072 9600,sam.alford@eel.co.uk,,SAM ALFORD,Chris Appleton,C.Appleton@zip-clip.com
PHC (Powred Heating Components Ltd) St Werburghs,distributor,HVAC — United Kingdom,51.46974,-2.57404,"St Werburghs, United Kingdom",441000000000,,,,Contact,
Rexel - Heathrow,distributor,ELECTRICAL — United Kingdom,51.47185,-0.40938,"Silver Jubilee Way, United Kingdom",,,,,Contact,
Building Materials Nationwide,distributor,OTHER — United Kingdom,51.48007,-0.86277,"Twyford, United Kingdom",442000000000,markw@buildingmaterials.co.uk,,Mark Winter,Toby House,
Buxton & McNulty Mechanical Services Ltd,distributor,OTHER — United Kingdom,51.48082,0.17467,"Erith, United Kingdom",442000000000,,,,Toby House,
AT & T GB Ltd,distributor,OTHER — United Kingdom,51.48354,-0.30637,"Brentford, United Kingdom",442000000000,,,,Toby House,
Blitz Systems,distributor,OTHER — Australia,51.48371,-3.1681,"Cardiff, Australia",611000000000,,,,Contact,
Focus MEP,distributor,OTHER — United Kingdom,51.48371,-3.1681,"Cardiff, United Kingdom",,lee.davies@focusmep.co.uk,,Lee Davis,Chris Appleton,
PHC (Powred Heating Components Ltd) Cardiff,distributor,HVAC — United Kingdom,51.48371,-3.1681,"Cardiff, United Kingdom",443000000000,,,,Chris Appleton,
Sawdon Ductwork Ltd,distributor,HVAC — United Kingdom,51.48372,-0.52516,"Colnbrook, United Kingdom",442000000000,,,,Toby House,
Herschel Infrared,distributor,OTHER — United Kingdom,51.49238,-2.61989,"Westbury on Trym, United Kingdom",18007014495,eduardo.eggleton@herschel-infrared.com,,Eduardo Eggleton,Josh Wade,
Bouygues London Office,distributor,OTHER — United Kingdom,51.49351,-0.11784,"Lambeth, United Kingdom",442000000000,,,,Contact,
FETA,distributor,OTHER — United Kingdom,51.49456,-0.84408,"Hare Hatch, United Kingdom",441000000000,chris.yates@feta.co.uk,,Chris Yates,Contact,
Meridian Concepts,distributor,OTHER — Australia,51.50101,-0.19328,"Kensington, Australia",61413936126,,,,Contact,
Moss Electrical Ltd - Bridgend,distributor,ELECTRICAL — United Kingdom,51.50429,-3.57694,"Bridgend, United Kingdom",442000000000,dan@lectri-call.co.uk,,,Chris Appleton,
Total Electrical Distributors Ltd,distributor,ELECTRICAL — United Kingdom,51.50429,-3.57694,"Bridgend, United Kingdom",442000000000,,,,Chris Appleton,
Allduct Equipment Supplies Ltd,distributor,HVAC — United Kingdom,51.50722,-0.12759,"London, United Kingdom",442000000000,,,,Toby House,
Balfour Beatty Group,distributor,OTHER — United Kingdom,51.50722,-0.12759,"London, United Kingdom",442000000000,,,,Toby House,
BJ Hardware Ltd,distributor,FIXINGS — United Kingdom,51.50722,-0.12759,"London, United Kingdom",442000000000,,,,Toby House,
CEF,distributor,OTHER — United Kingdom,51.50722,-0.12759,"London, United Kingdom",4400000000000,,,,Toby House,
CEF,distributor,OTHER — United Kingdom,51.50722,-0.12759,"London, United Kingdom",442000000000,,,,Toby House,
CEF Fulham,distributor,ELECTRICAL — United Kingdom,51.50722,-0.12759,"London, United Kingdom",442000000000,,,,Toby House,
CEF Kensington North,distributor,ELECTRICAL — United Kingdom,51.50722,-0.12759,"London, United Kingdom",442000000000,,,,Toby House,
CET,distributor,OTHER — United Kingdom,51.50722,-0.12759,"London, United Kingdom",,,,,Toby House,
Control Electrical Suppliers Ltd,distributor,ELECTRICAL — United Kingdom,51.50722,-0.12759,"London, United Kingdom",442000000000,,,,Toby House,
CSS Electrical Distributors Ltd,distributor,ELECTRICAL — United Kingdom,51.50722,-0.12759,"London, United Kingdom",442000000000,,,,Toby House,
Delta Display Ltd,distributor,OTHER — United Kingdom,51.50722,-0.12759,"London, United Kingdom",442000000000,,,,Toby House,
Direct Air Supplies Ltd,distributor,OTHER — United Kingdom,51.50722,-0.12759,"London, United Kingdom",442000000000,,,,Toby House,
Edmundson Electrical Ltd Docklands,distributor,ELECTRICAL,51.50722,-0.12759,London,442000000000,dan@lectri-call.co.uk,,,Contact,
Edumundsons Electrical,distributor,ELECTRICAL,51.50722,-0.12759,London,442000000000,,,,Contact,
Electrical Industries Charity,distributor,ELECTRICAL — United Kingdom,51.50722,-0.12759,"London, United Kingdom",4400000000000,,,,Toby House,
Emtec Southern,distributor,OTHER — United Kingdom,51.50722,-0.12759,"London, United Kingdom",4400000000000,scott.newson@emtecsouthern.co.uk,,Scott Newson,Toby House,
eyre&elliston,distributor,OTHER,51.50722,-0.12759,London,442000000000,,,,Contact,
Firecracker Works Ltd,distributor,OTHER — United Kingdom,51.50722,-0.12759,"London, United Kingdom",442000000000,,,,Toby House,
Gardner & Co,distributor,OTHER,51.50722,-0.12759,London,442000000000,brian.hart@gardnerco.net,,Brian Hart,Contact,
Ghir Electrical Supplies Limited,distributor,ELECTRICAL — United Kingdom,51.50722,-0.12759,"London, United Kingdom",442000000000,info@ghirelectrical.co.uk,,Bob Ghir/Ron,Toby House,
Goodwin and Goodwin,distributor,OTHER — United Kingdom,51.50722,-0.12759,"London, United Kingdom",442000000000,simon@goodwinandgoodwin.com,,Simon,Toby House,
Harvey Nichols Group Ltd,distributor,OTHER — United Kingdom,51.50722,-0.12759,"London, United Kingdom",441000000000,,,,Toby House,
Kier London Office,distributor,OTHER — United Kingdom,51.50722,-0.12759,"London, United Kingdom",,,,,Toby House,
Lawton Connections,distributor,OTHER — United Kingdom,51.50722,-0.12759,"London, United Kingdom",442000000000,,,,Toby House,
Lidl Great Britain Ltd,distributor,OTHER — United Kingdom,51.50722,-0.12759,"London, United Kingdom",,,,,Toby House,
London & Kent Electrical Ltd,distributor,ELECTRICAL — United Kingdom,51.50722,-0.12759,"London, United Kingdom",442000000000,dan@lectri-call.co.uk,,,Toby House,
Mace Group,distributor,OTHER — United Kingdom,51.50722,-0.12759,"London, United Kingdom",442000000000,,,,Toby House,
Mega Creative Ltd,distributor,OTHER — United Kingdom,51.50722,-0.12759,"London, United Kingdom",448000000000,joe@megacreative.co.uk,,Joe Lynch,Toby House,
Mitie UK Facilities Management,distributor,OTHER — United Kingdom,51.50722,-0.12759,"London, United Kingdom",443000000000,marcus.white@mitie.com,,Marcus White,Toby House,
Morgan Sindall Group,distributor,OTHER — United Kingdom,51.50722,-0.12759,"London, United Kingdom",444000000000,,,,Toby House,
N G Bailey London Office,distributor,OTHER — United Kingdom,51.50722,-0.12759,"London, United Kingdom",442000000000,david.hurcomb@ngbailey.co.uk,,David Stuart Hurcomb Hurcomb,Toby House,
Network Rail,distributor,OTHER — United Kingdom,51.50722,-0.12759,"London, United Kingdom",,,,,Toby House,
Orissa Design Ltd t/a Inlighting,distributor,ELECTRICAL — United Kingdom,51.50722,-0.12759,"London, United Kingdom",448000000000,,,,Toby House,
Rexel,distributor,ELECTRICAL — United Kingdom,51.50722,-0.12759,"London, United Kingdom",,,,,Toby House,
Rexel,distributor,ELECTRICAL — United Kingdom,51.50722,-0.12759,"London, United Kingdom",,,,,Toby House,
Rexel - Bermondsey,distributor,ELECTRICAL — United Kingdom,51.50722,-0.12759,"London, United Kingdom",,,,,Toby House,
Rubix Group,distributor,OTHER — United Kingdom,51.50722,-0.12759,"London, United Kingdom",442000000000,,,,Toby House,
Seen Displays Limited,distributor,OTHER — United Kingdom,51.50722,-0.12759,"London, United Kingdom",,,,,Toby House,
TOPMAN,distributor,OTHER — United Kingdom,51.50722,-0.12759,"London, United Kingdom",020 7927 0517 Ext 2517,,,,Toby House,
Travel For London,distributor,OTHER — United Kingdom,51.50722,-0.12759,"London, United Kingdom",443000000000,,,,Toby House,
Wibe Group,distributor,OTHER — United Kingdom,51.50722,-0.12759,"London, United Kingdom",46705092222,nicklas.lind@wibe-group.com,,Nicklas Lind,Toby House,
BEW Electrical Distributors Ltd - Heathrow,distributor,ELECTRICAL — United Kingdom,51.50772,-0.47268,"West Drayton, United Kingdom",,,,,Toby House,
Clevertronics International UK Ltd,distributor,OTHER — United Kingdom,51.50772,-0.47268,"West Drayton, United Kingdom",442000000000,,,,Toby House,
GFE Electrical Wholesale Ltd - Slough,distributor,ELECTRICAL — United Kingdom,51.51054,-0.59504,"Slough, United Kingdom",442000000000,,,,Toby House,
Rapid Electrical Distributors Ltd,distributor,ELECTRICAL — United Kingdom,51.51054,-0.59504,"Slough, United Kingdom",442000000000,simon@rapidelectrical.com,,Simon Evans,Toby House,
SIG - Slough (West London),distributor,OTHER — United Kingdom,51.51054,-0.59504,"Slough, United Kingdom",,,,,Toby House,
Mechanical Air Supplies Ltd - Hayes Middlesex,distributor,OTHER — United Kingdom,51.51769,-0.43602,"Hayes, United Kingdom",442000000000,,,,Toby House,
Mechanical Air Supplies Ltd - Rainham,distributor,OTHER — United Kingdom,51.51773,0.19483,"Rainham, United Kingdom",442000000000,,,,Toby House,
J.A. Glover Ltd - Stratford,distributor,OTHER — United Kingdom,51.51895,0.0132,"Canning Town, United Kingdom",442000000000,,,,Toby House,
Excel (Portam) Ltd,distributor,OTHER — United Kingdom,51.52116,0.29435,"South Ockendon, United Kingdom",442000000000,,,,Toby House,
BEW Electrical Distributors Ltd - Maidenhead,distributor,ELECTRICAL — United Kingdom,51.52256,-0.72431,"Maidenhead, United Kingdom",,,,,Toby House,
Rexel - Park Royal Hub,distributor,ELECTRICAL — United Kingdom,51.52786,-0.26182,"Park Royal, United Kingdom",,,,,Toby House,
014 Edmundson Electrical Barking,distributor,ELECTRICAL — Barking — United Kingdom,51.53215,0.10453,"Unit 3, Barking, IG11 0AW, United Kingdom",0208 594 7121,paul.morrish@eel.co.uk,,PAUL MORRISH,Toby House,T.House@zip-clip.com
Barnvale,distributor,OTHER — United Kingdom,51.53774,0.07613,"Barking, United Kingdom",442000000000,,,,Toby House,
Electricbase - Bolton,distributor,ELECTRICAL — United Kingdom,51.53903,-0.14255,"Camden Town, United Kingdom",441000000000,,,,Toby House,
Rexel - Dagenham,distributor,ELECTRICAL — United Kingdom,51.54026,0.14821,"Dagenham, United Kingdom",,,,,Toby House,
PG Events,distributor,OTHER — United Kingdom,51.5414,-1.90232,"Wootton Bassett, United Kingdom",442000000000,,,,Contact,
GHT Plastering Services Ltd,distributor,OTHER — United Kingdom,51.54159,-2.41432,"Yate, United Kingdom",441000000000,,,,Chris Appleton,
021 Edmundson Electrical Bedminster (Bristol),distributor,ELECTRICAL — Bedminster (Bristol) — United Kingdom,51.54252,-2.5764,"Malago Road, Bristol, BS32 4RX, United Kingdom",0117 966 6851,ryan.martin@eel.co.uk,,RYAN MARTIN,Chris Appleton,C.Appleton@zip-clip.com
Tenn Ltd,distributor,OTHER — United Kingdom,51.5462,-3.59363,"Bryn Road, Tondu, United Kingdom",02921 695410 A/c's-01633815800,,,,Chris Appleton,
Outback Rigging Ltd,distributor,OTHER — United Kingdom,51.5485,-0.47961,"Uxbridge, United Kingdom",442000000000,,,,Toby House,
BEW Electrical Distributors Ltd - Ilford,distributor,ELECTRICAL — United Kingdom,51.55623,0.07183,"Ilford, United Kingdom",,,,,Toby House,
DP Building Systems,distributor,OTHER — United Kingdom,51.55707,-0.28597,"Brent, United Kingdom",441000000000,paul@dpbuildingsystems.co.uk,,Paul McMahon,Toby House,
Current Electrical Supplies Ltd,distributor,ELECTRICAL — United Kingdom,51.55814,-1.77983,"Swindon, United Kingdom",442000000000,,,,Toby House,
Grant & Stone,distributor,OTHER — United Kingdom,51.55814,-1.77983,"Swindon, United Kingdom",,,,,Toby House,
PHC (Powred Heating Components Ltd) Swindon,distributor,HVAC — United Kingdom,51.55814,-1.77983,"Swindon, United Kingdom",442000000000,,,,Toby House,
Potter & Son (Swindon) Ltd,distributor,OTHER — United Kingdom,51.55814,-1.77983,"Swindon, United Kingdom",442000000000,,,,Toby House,
Rexel - Swindon,distributor,ELECTRICAL — United Kingdom,51.55814,-1.77983,"Swindon, United Kingdom",,,,,Toby House,
Roberts & Prowse (Swindon) Limited,distributor,OTHER — United Kingdom,51.55814,-1.77983,"Swindon, United Kingdom",442000000000,,,,Toby House,
M&E Solutions Ltd,distributor,OTHER — United Kingdom,51.56225,0.2186,"Hornchurch, United Kingdom",,,,,Toby House,
Quantum Electrical Distributors Ltd,distributor,ELECTRICAL — United Kingdom,51.5627,-1.77893,"Fleming Way, United Kingdom",441000000000,,,,Contact,
ASG (Essex) Ltd,distributor,OTHER — United Kingdom,51.57608,0.48874,"Basildon, United Kingdom",441000000000,,,,Toby House,
Merson Signs - Basildon,distributor,OTHER — United Kingdom,51.57608,0.48874,"Basildon, United Kingdom",441000000000,,,,Toby House,
Storm Ventilation Supplies Ltd - Basildon,distributor,HVAC — United Kingdom,51.57608,0.48874,"Basildon, United Kingdom",441000000000,,,,Toby House,
Storm Ventilation Supplies Ltd - Bourne End,distributor,HVAC — United Kingdom,51.57651,-0.71007,"Bourne End, United Kingdom",442000000000,,,,Toby House,
Rexel - Romford,distributor,ELECTRICAL — United Kingdom,51.57752,0.17858,"Romford, United Kingdom",,,,,Toby House,
Rage Electrical Wholesale Ltd,distributor,ELECTRICAL — United Kingdom,51.57883,-3.21813,"Caerphilly, United Kingdom",443000000000,,,,Chris Appleton,
Rexel - Basildon,distributor,ELECTRICAL — United Kingdom,51.58885,0.49099,"Paycocke Rad, United Kingdom",,,,,Contact,
Genix Imaging Ltd,distributor,OTHER — United Kingdom,51.58903,-0.0598,"Tottenham Hale, United Kingdom",442000000000,,,,Contact,
London Ductwork Services Ltd t/a RDS,distributor,HVAC — United Kingdom,51.59127,0.02647,"South Woodford, United Kingdom",442000000000,,,,Contact,
PHC (Powred Heating Components Ltd) Swansea,distributor,HVAC — United Kingdom,51.62144,-3.94365,"Swansea, United Kingdom",442000000000,,,,Chris Appleton,
RDM,distributor,OTHER — United Kingdom,51.62144,-3.94365,"Swansea, United Kingdom",442000000000,,,,Chris Appleton,
Skanska,distributor,OTHER — United Kingdom,51.62545,-0.51088,"Maple Cross, United Kingdom",442000000000,,,,Contact,
Sentinel Contracting,distributor,OTHER — United Kingdom,51.6279,0.4184,"Billericay, United Kingdom",441000000000,,,,Contact,
Casaire Ltd,distributor,OTHER — United Kingdom,51.62861,-0.74823,"High Wycombe, United Kingdom",441000000000,kevin.knight@casaire.co.uk,,Kevin Knight,Toby House,
GLT Electrical Wholesale Ltd - High Wycombe,distributor,ELECTRICAL — United Kingdom,51.62861,-0.74823,"High Wycombe, United Kingdom",441000000000,,,,Toby House,
Smartcomm Ltd,distributor,OTHER — United Kingdom,51.62861,-0.74823,"High Wycombe, United Kingdom",441000000000,,,,Toby House,
026 Edmundsons Electrical SWANSEA,distributor,ELECTRICAL — SWANSEA — United Kingdom,51.63577,-3.97089,"Cwmdu Industrial Estate, Camarthen Road, Sutton Coldfield, SA5 8JF, United Kingdom",01792 583777,matthew.jones@eel.co.uk,,MATTHEW JONES,Chris Appleton,C.Appleton@zip-clip.com
GLT Electrical Wholesale Ltd - Oxford,distributor,ELECTRICAL — United Kingdom,51.63595,-0.78083,"Mill End Road, United Kingdom",442000000000,,,,Contact,
Trust Electrical Supplies Ltd,distributor,ELECTRICAL — United Kingdom,51.64689,-3.13552,"Abercarn, United Kingdom",441000000000,,,,Chris Appleton,
Ideal Lights,distributor,OTHER,51.64966,-3.03179,Cwmbran,442000000000,dan.etherington@ideallights.co.uk,,,Contact,
Vent Air Fabrications Ltd,distributor,OTHER — United Kingdom,51.64966,-3.03179,"Cwmbran, United Kingdom",442000000000,m.sahiaoui@icat.ma,,Meriem SAHIAOUI,Chris Appleton,
Vent Air Systems Ltd,distributor,OTHER — United Kingdom,51.64966,-3.03179,"Cumbran, United Kingdom",442000000000,,,,Contact,
Eiger Safety Installations,distributor,OTHER — United Kingdom,51.65594,0.06816,"Loghton, United Kingdom",449000000000,,,,Contact,
LH Evans Wholesale Electrical Distributors,distributor,ELECTRICAL — United Kingdom,51.65699,-3.80548,"Neath, United Kingdom",4400000000000,matthew.bailey@lhevans.co.uk,,Matthew Bailey,Contact,
Bemco,distributor,OTHER — United Kingdom,51.66113,-0.39702,"Watford, United Kingdom",442000000000,london@bemco.co.uk,,,Toby House,
Jolec Electrical Supplies LTD,distributor,ELECTRICAL,51.66113,-0.39702,Watford,442000000000,wayne@jolec.co.uk,,Wayne Harron,Contact,
Jolec Electrical Supplies Ltd,distributor,ELECTRICAL — United Kingdom,51.66113,-0.39702,"Watford, United Kingdom",442000000000,wayne@jolec.co.uk,,Wayne Harron,Toby House,
Stylographics Ltd,distributor,OTHER — United Kingdom,51.66113,-0.39702,"Watford, United Kingdom",01923 80666,,,,Toby House,
Vinci Construction Group,distributor,OTHER — United Kingdom,51.66113,-0.39702,"Watford, United Kingdom",01923 23343,,,,Toby House,
EBS Automation Ltd,distributor,OTHER — United Kingdom,51.68089,-4.16025,"Llanelli, United Kingdom",442000000000,,,,Chris Appleton,
TJ Electrical Wholesale Ltd,distributor,ELECTRICAL — United Kingdom,51.68089,-4.16025,"Llanelli, United Kingdom",442000000000,paul@tj-electrical.com,,Paul Jones,Chris Appleton,
Medlock Electrical Distrbutors - Crayford,distributor,ELECTRICAL — United Kingdom,51.68584,-0.0331,"Waltham Cross, United Kingdom",441000000000,,,,Toby House,
Christmas Creations,distributor,OTHER — United Kingdom,51.68764,-0.34545,"Blackbirds Lane, United Kingdom",442000000000,alex@christmas-creations.com,,Alex Walters Walters,Contact,
Astles Electrical Wholesalers LTD,distributor,ELECTRICAL — United Kingdom,51.69454,-0.73755,"Prestwood, United Kingdom",441000000000,,,,Toby House,
Dragons Breath - Lilac Orchard Ltd,distributor,OTHER — United Kingdom,51.71431,-5.0427,"Milford Haven, United Kingdom",442000000000,,,,Chris Appleton,
Prokura,distributor,OTHER — United Kingdom,51.71849,-1.96824,"Cirencester, United Kingdom",441000000000,wp@prokura.co.uk,,Warwick Pocock,Chris Appleton,
025 Edmundson Electrical Milford Haven,distributor,ELECTRICAL — Milford Haven — United Kingdom,51.72632,-5.03104,"Thornton Industrial Estate, Middlesborough, SA73 2RR, United Kingdom",01646 693602,john.farrugia@eel.co.uk,,John Farrugia,Gemma Lawless,G.Lawless@zip-clip.com
Tec Supplies Group Ltd,distributor,OTHER — United Kingdom,51.73181,0.67145,"Maldon, United Kingdom",441000000000,craigh@tec-supplies.com,,Craig Humphryes,Toby House,
Storm Ventilation Supplies Ltd - Welham Green,distributor,HVAC — United Kingdom,51.73473,-0.21695,"Welham Green, United Kingdom",442000000000,lee@green.supplies,,Lee Green,Toby House,
Welham Electrical Wholesalers,distributor,ELECTRICAL,51.73473,-0.21695,Welham Green,4400000000000,stel@welham-elec.co.uk,,Stel Theodorou,Contact,
AC Fixings LTD,distributor,FIXINGS,51.73559,0.46855,Chelmsford,441000000000,,,,Contact,
BEW Electrical Distributors Ltd - Bermondsey,distributor,ELECTRICAL — United Kingdom,51.73559,0.46855,"Chelmsford, United Kingdom",,,,,Toby House,
BEW Electrical Distributors Ltd - Chelmsford,distributor,ELECTRICAL — United Kingdom,51.73559,0.46855,"Chelmsford, United Kingdom",,,,,Toby House,
BEW Electrical Distributors Ltd - London,distributor,ELECTRICAL — United Kingdom,51.73559,0.46855,"Chelmsford, United Kingdom",,,,,Toby House,
BEW Electrical Distributors Ltd - Sheldon Birmingham,distributor,ELECTRICAL — United Kingdom,51.73559,0.46855,"Chelmsford, United Kingdom",,,,,Toby House,
Grip Fixings Ltd - Chelmsford,distributor,FIXINGS — United Kingdom,51.73559,0.46855,"Chelmsford, United Kingdom",441000000000,cambridge@gripfixings.com,,Brian Hunt,Toby House,
L & B (Essex) Ltd,distributor,OTHER — United Kingdom,51.73559,0.46855,"Chelmsford, United Kingdom",441000000000,,,,Toby House,
UK Electrical Wholesale,distributor,ELECTRICAL — United Kingdom,51.73559,0.46855,"Chelmsford, United Kingdom",441000000000,,,,Toby House,
Cable Termination Components Ltd,distributor,ELECTRICAL — United Kingdom,51.74388,-2.27903,"Stonehouse, United Kingdom",441000000000,,,,Chris Appleton,
036 Edmundson Electrical Chelmsford,distributor,ELECTRICAL — Chelmsford — United Kingdom,51.74881,0.51922,"Unit 1, 1 Sheepcotes, Springfield Business Park, Chelmsford, CM2 5AE, United Kingdom",01245 449000,bradley.rodwell@eel.co.uk,,BRADLEY RODWELL,Toby House,T.House@zip-clip.com
Beelex Electrical Limited,distributor,ELECTRICAL — United Kingdom,51.75088,-0.33977,"St Albans, United Kingdom",442000000000,dan@lectri-call.co.uk,,,Toby House,
Unipart Group,distributor,OTHER — United Kingdom,51.75202,-1.25773,"Oxford, United Kingdom",448000000000,paul.hales@unipart.com,,Paul Hales,Toby House,
Gil-Lec Ltd,distributor,OTHER — United Kingdom,51.75324,-0.44863,"Hemel Hempstead, United Kingdom",441000000000,,,,Toby House,
GLT Electrical Wholesale Ltd - Hemel Hempstead,distributor,ELECTRICAL — United Kingdom,51.75324,-0.44863,"Hemel Hempstead, United Kingdom",441000000000,,,,Toby House,
HERTS ELECTRICAL WHOLESALE LIMITED,distributor,ELECTRICAL — United Kingdom,51.76001,-0.01504,"Hoddesdon, United Kingdom",442000000000,sbeevor@herts-electrical.co.uk,,Stuart Beevor,Toby House,
Melissa Electrical Distributors Limited,distributor,ELECTRICAL — United Kingdom,51.76001,-0.01504,"Hoddesdon, United Kingdom",442000000000,tim@melissaelectrical.org.uk,,Tim Garlinge,Toby House,
Planned Environmental Services,distributor,OTHER — United Kingdom,51.76095,0.54817,"Boreham, United Kingdom",441000000000,,,,Contact,
ASG Warwick,distributor,OTHER — United Kingdom,51.76684,0.47578,"Essex, United Kingdom",2476608200,,,,Contact,
Edumundsons Chelmsford,distributor,OTHER,51.76684,0.47578,Essex,441000000000,,,,Contact,
Rexel Harlow,distributor,ELECTRICAL — United Kingdom,51.76684,0.47578,"Essex, United Kingdom",,,,,Contact,
UK Electrical Wholesalers Ltd (Chelmsford),distributor,ELECTRICAL,51.76684,0.47578,Essex,441000000000,,,,Contact,
Andrews & Hart,distributor,OTHER — United Kingdom,51.76779,0.08781,"Harlow, United Kingdom",441000000000,info@andrewsandhart.co.uk,,,Toby House,
Y.E.S.S.S Ltd Harlow,distributor,ELECTRICAL — United Kingdom,51.76779,0.08781,"Harlow, United Kingdom",441000000000,shane.cartwright@yess.co.uk,,Shane Cartwright,Toby House,
J.A. Glover Ltd - Oxford,distributor,OTHER — United Kingdom,51.77217,-1.07161,"Worminghall, United Kingdom",,,,,Contact,
C D Wright,distributor,OTHER — United Kingdom,51.78215,-0.58978,"Northchurch, United Kingdom",441000000000,,,,Toby House,
D S Ducts Ltd,distributor,OTHER — United Kingdom,51.79576,-0.08116,"Hertford, United Kingdom",442000000000,,,,Toby House,
Duct and Vent LTD,distributor,HVAC — United Kingdom,51.79576,-0.08116,"Hertford, United Kingdom",442000000000,orders@ductandvent.co.uk,,James Coe,Toby House,
Axiom Building Services,distributor,OTHER — United Kingdom,51.82367,-2.27756,"Quedgeley, United Kingdom",,,,,Contact,
Medlock Electrical Distributors - Gloucester,distributor,ELECTRICAL — United Kingdom,51.82367,-2.27756,"Quedgeley, United Kingdom",441000000000,,,,Contact,
Worcester Electrical Distributors Ltd - Abergavenny,distributor,ELECTRICAL — United Kingdom,51.82537,-3.01942,"Abergavenny, United Kingdom",442000000000,timgreen@worcesterelectrical.co.uk,,Tim Green,Chris Appleton,
